Occupation,Career_Cluster,Career_Pathway,Top_10_Skills
Refuse and Recyclable Material Collectors,"Agriculture, Food & Natural Resources",Environmental Service Systems,"customer service_15,communication_9,lifting_7,cdl_7,dz license_6,organizational skills_6,teamwork_6,high school diploma_6,truck driving_6,class a cdl_6"
Water and Wastewater Treatment Plant and System Operators,"Agriculture, Food & Natural Resources",Environmental Service Systems,"teamwork_15,civil engineering_12,communication_10,troubleshooting_8,autocad_8,safety procedures_7,problem solving_7,water treatment_6,data analysis_6,wastewater engineering_6"
Water/Wastewater Engineers,"Agriculture, Food & Natural Resources",Environmental Service Systems,"civil engineering_98,project management_74,autocad_72,environmental engineering_52,hecras_40,water resources engineering_39,arcgis_39,engineering_37,teamwork_36,problem solving_34"
Agricultural Technicians,"Agriculture, Food & Natural Resources",Food Products and Processing Systems,"data analysis_65,communication_36,research_31,teamwork_30,molecular biology_28,attention to detail_25,communication skills_24,data collection_23,cell culture_22,troubleshooting_21"
"First-Line Supervisors of Farming, Fishing, and Forestry Workers","Agriculture, Food & Natural Resources",Food Products and Processing Systems,"communication_92,leadership_86,customer service_64,facility management_61,project management_49,microsoft office suite_44,budgeting_40,teamwork_39,problem solving_38,time management_37"
Food Science Technicians,"Agriculture, Food & Natural Resources",Food Products and Processing Systems,"quality assurance_31,data analysis_28,communication_15,corrective actions_15,quality control_15,root cause analysis_15,communication skills_15,problem solving_12,jira_11,collaboration_11"
Food Scientists and Technologists,"Agriculture, Food & Natural Resources",Food Products and Processing Systems,"data analysis_147,communication_69,molecular biology_67,chemistry_60,teamwork_57,project management_56,communication skills_52,problem solving_49,research_47,collaboration_47"
"Graders and Sorters, Agricultural Products","Agriculture, Food & Natural Resources",Food Products and Processing Systems,"teamwork_28,customer service_26,communication_25,communication skills_25,time management_22,attention to detail_21,sales_19,problem solving_17,laboratory technician_16,chemistry_15"
Clinical Research Coordinators,"Agriculture, Food & Natural Resources",Natural Resources Systems,"communication_77,leadership_68,data analysis_56,teamwork_46,patient care_43,problem solving_41,interpersonal skills_40,nursing_38,scheduling_38,training_38"
Fallers,"Agriculture, Food & Natural Resources",Natural Resources Systems,"vision insurance_3,dental insurance_3,disability insurance_3,life insurance_3,arboriculture_3,teamwork_3,manufacturing_2,forklift operation_2,chainsaw operation_2,safety procedures_2"
Fishing and Hunting Workers,"Agriculture, Food & Natural Resources",Natural Resources Systems,"customer service_25,teamwork_16,food preparation_14,food safety_13,communication_13,time management_9,cleaning_9,problemsolving_7,food handling_6,cleanliness_6"
Forest and Conservation Technicians,"Agriculture, Food & Natural Resources",Natural Resources Systems,"american institute of conservation (aic) membership_1,professional associate or fellow level_1,master's degree in object conservation_1,ten (10) years of comparable training and experience_1,experience as senior conservator and project director_1,bronze sculpture conservation_1,marble sculpture conservation_1,conservation_1,documentation_1,deterioration_1"
Forest and Conservation Workers,"Agriculture, Food & Natural Resources",Natural Resources Systems,"tree pruning_6,tree removal_4,knots_4,tree climbing_3,tree risk assessment_3,bucket trucks_3,claw trucks_3,tree pruning techniques_3,tree removal techniques_3,laborintensive outdoor work_3"
Foresters,"Agriculture, Food & Natural Resources",Natural Resources Systems,"forestry_6,communication_5,communication skills_5,forest management_4,supervision_4,scheduling_4,training_4,leadership_3,gis_3,public speaking_3"
"Geological Technicians, Except Hydrologic Technicians","Agriculture, Food & Natural Resources",Natural Resources Systems,"data analysis_41,communication skills_36,teamwork_33,troubleshooting_31,attention to detail_28,communication_19,chemistry_17,microsoft office_17,time management_17,problem solving_17"
Log Graders and Scalers,"Agriculture, Food & Natural Resources",Natural Resources Systems,"forestry_1,timber procurement_1,registered forester_1,bachelor's degree_1"
Logging Equipment Operators,"Agriculture, Food & Natural Resources",Natural Resources Systems,"communication_17,equipment operation_16,customer service_12,twic card_11,problemsolving_10,equipment inspection_9,teamwork_9,attention to detail_9,physical fitness_9,equipment maintenance_9"
"Logging Workers, All Other","Agriculture, Food & Natural Resources",Natural Resources Systems,"customer service_55,communication_32,teamwork_27,delivery driver_26,valid driver's license_25,driver's license_22,time management_21,high school diploma_21,vehicle maintenance_20,driving_19"
Natural Sciences Managers,"Agriculture, Food & Natural Resources",Natural Resources Systems,"data analysis_45,communication_44,project management_35,communication skills_34,laboratory management_31,data management_22,research_22,leadership_21,problem solving_21,organizational skills_21"
Water Resource Specialists,"Agriculture, Food & Natural Resources",Natural Resources Systems,"water resource planning_1,environmental assessment_1,data management_1,data analysis_1,excel_1,arcgis_1,qgis_1,geographic information systems_1,project management_1,program management_1"
Zoologists and Wildlife Biologists,"Agriculture, Food & Natural Resources",Natural Resources Systems,"data analysis_73,research_38,communication_33,collaboration_31,problem solving_27,molecular biology_24,teamwork_24,project management_24,python_23,communication skills_21"
"Agricultural Workers, All Other","Agriculture, Food & Natural Resources",Plant Systems,"customer service_50,communication_30,delivery driver_26,teamwork_26,valid driver's license_24,driver's license_22,high school diploma_21,vehicle maintenance_20,driving_19,time management_19"
Biological Technicians,"Agriculture, Food & Natural Resources",Plant Systems,"data analysis_62,teamwork_49,communication skills_46,communication_42,attention to detail_33,chemistry_33,troubleshooting_27,biology_25,data collection_25,time management_23"
"Farmworkers and Laborers, Crop, Nursery, and Greenhouse","Agriculture, Food & Natural Resources",Plant Systems,"teamwork_4,valid driver's license_2,reliable transportation_2,adaptability_2,attention to detail_2,shoveling_2,spinning fiber reel_2,pulling cable_2,available for work requiring travel_2,high school diploma or ged_2"
"Pesticide Handlers, Sprayers, and Applicators, Vegetation","Agriculture, Food & Natural Resources",Plant Systems,"customer service_40,communication skills_32,driver's license_30,attention to detail_26,greenup treating techniques_24,physical stamina_19,mathematical ability_17,landscape design_17,spray technician_16,ability to operate and troubleshoot lawn and tree/shrub equipment_16"
Soil and Plant Scientists,"Agriculture, Food & Natural Resources",Plant Systems,"data analysis_134,molecular biology_65,communication_55,chemistry_49,teamwork_48,problem solving_47,communication skills_46,project management_44,elisa_43,research_43"
Tree Trimmers and Pruners,"Agriculture, Food & Natural Resources",Plant Systems,"communication skills_12,communication_12,special education_10,interpersonal skills_10,learning theories_9,organizational skills_8,high school diploma_8,paid holidays_8,teaching experience_8,safety procedures_7"
Agricultural Engineers,"Agriculture, Food & Natural Resources","Power, Structural & Technical Systems","project management_385,communication_194,project engineering_142,mechanical engineering_138,problem solving_135,engineering_130,autocad_127,civil engineering_126,communication skills_119,scheduling_112"
Agricultural Equipment Operators,"Agriculture, Food & Natural Resources","Power, Structural & Technical Systems","communication_28,quality control_21,teamwork_20,equipment operation_18,machine operation_18,attention to detail_17,forklift operation_14,problemsolving_13,customer service_13,high school diploma or ged_12"
Farm Equipment Mechanics and Service Technicians,"Agriculture, Food & Natural Resources","Power, Structural & Technical Systems","customer service_1006,valid driver's license_828,ability to work at heights_577,communication_563,ability to lift heavy objects_507,communication skills_390,ability to travel_390,problemsolving_379,travel_367,teamwork_367"
Brickmasons and Blockmasons,Architecture & Construction,Construction,"data management_6,customer service_5,stock management_4,it equipment_4,mechanical skills_3,electrical skills_3,cando attitude_3,it proficiency_3,problem solving_3,proactive approach_2"
Carpenters,Architecture & Construction,Construction,"carpentry_75,construction_34,teamwork_33,communication_29,framing_25,hand tools_24,customer service_23,attention to detail_22,power tools_22,driver's license_19"
Carpet Installers,Architecture & Construction,Construction,"power tools_2,punctuality_2,travel_2,c class drivers' license_1,manual work_1,teamwork_1,overtime_1,working rights in australia_1,construction trades experience_1,high school diploma or ged_1"
Cement Masons and Concrete Finishers,Architecture & Construction,Construction,"concrete finishing_9,hand tools_5,background check_4,reliable transportation_4,good attendance_4,scaffolding_4,teamwork_4,concrete curing_3,bull floats_3,float blades_3"
Construction Laborers,Architecture & Construction,Construction,"communication_36,project management_34,construction coordination_31,construction_24,teamwork_23,high school diploma_21,interpersonal skills_21,communication skills_21,microsoft office suite_17,attention to detail_17"
Construction Managers,Architecture & Construction,Construction,"project management_3240,communication_2201,construction management_2054,scheduling_1711,leadership_1402,quality control_1193,budgeting_974,problem solving_951,time management_775,communication skills_765"
Continuous Mining Machine Operators,Architecture & Construction,Construction,"forklift operation_59,communication_42,teamwork_38,heavy equipment operation_35,equipment maintenance_29,attention to detail_28,forklift certification_22,equipment operation_22,material handling_22,inventory management_22"
Conveyor Operators and Tenders,Architecture & Construction,Construction,"troubleshooting_31,quality control_25,communication_24,teamwork_23,manufacturing_22,machine operation_21,forklift operation_15,high school diploma or ged_14,attention to detail_13,high school diploma_13"
Crane and Tower Operators,Architecture & Construction,Construction,"communication_37,teamwork_36,heavy equipment operation_32,equipment maintenance_26,equipment operation_23,quality control_20,attention to detail_18,machine operation_18,high school diploma or ged_17,troubleshooting_16"
"Derrick Operators, Oil and Gas",Architecture & Construction,Construction,"drilling_1,drilling rig operation_1,hoist operation_1,equipment maintenance_1,machine control_1,air pressure regulation_1,rotary speed regulation_1,downward pressure regulation_1,earth cuttings flushing_1,machine assembly and positioning_1"
Drywall and Ceiling Tile Installers,Architecture & Construction,Construction,"drywall finishing_6,spackling_3,hand tools_3,power tools_3,drilling_3,cutting_3,high school diploma_3,painting_3,401k_3,company vehicle_3"
"Earth Drillers, Except Oil and Gas",Architecture & Construction,Construction,"horizontal directional drill machinery_2,heavy equipment_2,equipment maintenance_2,drill locator_2,engineering plans_2,cdl class a/b_2,underground utility construction_2,drill operating_1,allweather environment_1,ability to travel_1"
Electricians,Architecture & Construction,Construction,"troubleshooting_239,electrician_103,electrical systems_99,wiring_78,hand tools_78,problemsolving_71,communication_71,electrical maintenance_70,teamwork_68,blueprints_67"
"Excavating and Loading Machine and Dragline Operators, Surface Mining",Architecture & Construction,Construction,"heavy equipment operation_34,communication_31,equipment maintenance_26,equipment operation_23,teamwork_20,customer service_14,excavator_13,problemsolving_13,attention to detail_13,excavator operation_12"
"Explosives Workers, Ordnance Handling Experts, and Blasters",Architecture & Construction,Construction,"billing_9,medical terminology_9,charge entry_7,coding_7,payment policies_7,explosives_5,third party billing_5,hospitalist integration_5,patientcentered healthcare_5,medical records_5"
"Extraction Workers, All Other",Architecture & Construction,Construction,"maintenance_26,communication_25,driver's license_23,electrical work_18,problemsolving_17,minor repairs_16,safety protocols_16,high school diploma_15,w9 arrangement_15,interpersonal skills_15"
First-Line Supervisors of Construction Trades and Extraction Workers,Architecture & Construction,Construction,"communication_1615,leadership_1255,project management_1169,scheduling_1005,quality control_713,customer service_697,problem solving_691,communication skills_659,maintenance_644,safety_638"
"Floor Layers, Except Carpet, Wood, and Hard Tiles",Architecture & Construction,Construction,"schematic wiring diagrams_3,microsoft office suite_3,move management software_3,timekeeping software_3,power tools_2,punctuality_2,blueprints_2,furniture assembly_2,electrical blueprints_2,sprinkler blueprints_2"
Floor Sanders and Finishers,Architecture & Construction,Construction,"trowel_1,epoxy flooring_1,urethane flooring_1,polymer flooring_1,industrial painting_1,planetary grinder_1,blaster_1,scarifier_1,shaver_1,safety regulations_1"
Glaziers,Architecture & Construction,Construction,"glass installation_2,mirror installation_1,insulated glass installation_1,glass cutting_1,mirror cutting_1,measuring_1,crl serenity installation_1,frameless shower installation_1,semiframeless bypass installation_1,glasstoglass hinged installation_1"
"Helpers, Construction Trades, All Other",Architecture & Construction,Construction,"ibew bargaining agreement_6,life insurance_6,pension plan_6,holiday pay_6,vacation pay_6,sick pay_6,educational assistance program_6,stock purchase program_6,electrical transmission_5,medical testing_5"
"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",Architecture & Construction,Construction,"masonry_1,scaffolding_1,stock management_1,equipment and material maintenance_1,mortar preparation_1,teamwork_1,safety awareness_1,selfmotivation_1,physical fitness_1,dependability_1"
Helpers--Carpenters,Architecture & Construction,Construction,"equipment operation_18,communication_17,recycling_14,customer service_14,waste collection_11,high school diploma or ged_10,waste management_10,driver's license_7,lifting_7,physical fitness_7"
Helpers--Electricians,Architecture & Construction,Construction,"troubleshooting_7,electrical systems_4,communication skills_4,teamwork_4,high school diploma or ged_4,attention to detail_3,problemsolving skills_3,safety procedures_3,customer service_3,electrical equipment maintenance_3"
Helpers--Extraction Workers,Architecture & Construction,Construction,"incident reporting_4,hse management system compliance_4,manual labor experience_4,professional demeanor_4,equipment maintenance_3,safety procedures_3,high school diploma or equivalent_3,tuition reimbursement_3,auxiliary equipment operation_3,english proficiency_3"
"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters",Architecture & Construction,Construction,"plumbing_3,pipe cutting_2,pipe installation_1,pipe maintenance_1,pipe repair_1,plumbing tools_1,service titan_1,computer programs_1,journeyman skilled plumbing work_1,local and state plumbing codes_1"
Helpers--Roofers,Architecture & Construction,Construction,"commercial roofing_1,drug test_1,lifting_1,climbing_1,driver's license_1,transportation_1,saturday/sunday/holiday work_1,work authorization_1,18+ years of age_1,various roofing systems_1"
Hoist and Winch Operators,Architecture & Construction,Construction,"material handling_46,forklift operation_27,inventory management_25,attention to detail_19,communication_18,data entry_16,teamwork_15,sap_14,high school diploma_13,quality control_12"
"Insulation Workers, Floor, Ceiling, and Wall",Architecture & Construction,Construction,"hand tools_3,attention to detail_3,power tools_2,punctuality_2,insulation_2,insulation installation_2,high school diploma_2,fiberglass_2,sheet metal_2,problem solving_2"
"Insulation Workers, Mechanical",Architecture & Construction,Construction,"hand tools_5,insulation_3,insulation systems_3,fiberglass_3,adhesives_2,blueprints_2,knives_2,tape measures_2,aerial lifts_2,fall protection equipment_2"
"Loading and Moving Machine Operators, Underground Mining",Architecture & Construction,Construction,"communication_18,equipment operation_16,customer service_15,teamwork_13,problemsolving_11,attention to detail_11,twic card_11,equipment inspection_9,heavy equipment operation_9,physical fitness_9"
"Loading and Moving Machine Operators, Underground Mining","Transportation, Distribution & Logistics",Transportation Operations,"communication_18,equipment operation_16,customer service_15,teamwork_13,problemsolving_11,attention to detail_11,twic card_11,equipment inspection_9,heavy equipment operation_9,physical fitness_9"
Manufactured Building and Mobile Home Installers,Architecture & Construction,Construction,"customer service_24,teamwork_16,food preparation_14,food safety_13,communication_13,time management_9,cleaning_8,problemsolving_7,food handling_6,cleanliness_6"
"Material Moving Workers, All Other",Architecture & Construction,Construction,"heavy equipment operation_26,equipment maintenance_15,teamwork_15,communication_13,excavators_9,standing_9,excavator_8,customer service_8,problem solving_8,walking_8"
"Material Moving Workers, All Other","Transportation, Distribution & Logistics",Transportation Operations,"heavy equipment operation_26,equipment maintenance_15,teamwork_15,communication_13,excavators_9,standing_9,excavator_8,customer service_8,problem solving_8,walking_8"
Operating Engineers and Other Construction Equipment Operators,Architecture & Construction,Construction,"forklift operation_59,plumbing_54,hvac_49,teamwork_46,troubleshooting_43,communication_36,electrical_36,quality control_32,hvac systems_31,safety procedures_28"
"Painters, Construction and Maintenance",Architecture & Construction,Construction,"painting_13,communication_5,surface preparation_5,communication skills_5,spray painting_3,attention to detail_3,carpentry_3,high school diploma_3,professionalism_3,maintenance_2"
"Paving, Surfacing, and Tamping Equipment Operators",Architecture & Construction,Construction,"communication_28,teamwork_27,customer service_25,quality control_20,machine operation_19,food preparation_14,food safety_13,attention to detail_12,problemsolving_12,time management_11"
Pile Driver Operators,Architecture & Construction,Construction,"construction equipment operation_1,basic equipment maintenance_1,equipment controls_1,crew coordination_1,heavy machinery knowledge_1,company values and strategic plan awareness_1,additional assignments_1,high school diploma_1,experience with construction equipment_1,comprehensive compensation package_1"
Pipelayers,Architecture & Construction,Construction,"troubleshooting_48,pipe sizing_42,trenchers_38,multimeters_38,wire locators_38,ditchers_38,supervisory skills_38,repair_35,installation_29,maintenance_29"
Plasterers and Stucco Masons,Architecture & Construction,Construction,"masonry_1,construction_1,bricklaying_1,concrete_1,cement_1,brick ruler_1,trowel_1,scaffolding_1,ladders_1,safety equipment_1"
"Plumbers, Pipefitters, and Steamfitters",Architecture & Construction,Construction,"plumbing_168,troubleshooting_109,customer service_106,maintenance_89,driver's license_83,communication_76,repair_75,installation_69,valid driver's license_57,communication skills_56"
Reinforcing Iron and Rebar Workers,Architecture & Construction,Construction,"welding_3,construction_3,structural steel erection_2,physical strength_2,teamwork_2,foundations_2,grade beams_2,column footings_2,caps_2,footing steps_2"
Riggers,Architecture & Construction,Construction,"rigging_5,valid driver's license_2,professional communication skills_2,ability to drive a vehicle_2,lifting_1,transport_1,signaling_1,radio communication_1,high risk license_1,working safely at heights ticket_1"
"Rock Splitters, Quarry",Architecture & Construction,Construction,"drilling_1,drilling rig operation_1,hoist operation_1,equipment maintenance_1,machine control_1,air pressure regulation_1,rotary speed regulation_1,downward pressure regulation_1,earth cuttings flushing_1,machine assembly and positioning_1"
"Roof Bolters, Mining",Architecture & Construction,Construction,"assembly_1,manufacturing_1,repetitive work_1,teamwork_1,quality control_1,production quotas_1,safety compliance_1,work order analysis_1,inventory management_1,tool utilization_1"
Roofers,Architecture & Construction,Construction,"commercial roofing_30,hand tools_27,health insurance_27,power tools_26,life insurance_26,paid holidays_26,dental insurance_26,driver's license_23,overtime_22,vision plan_21"
"Rotary Drill Operators, Oil and Gas",Architecture & Construction,Construction,"horizontal directional drill machinery_2,heavy equipment_2,equipment maintenance_2,drill locator_2,engineering plans_2,cdl class a/b_2,underground utility construction_2,drill operating_1,allweather environment_1,ability to travel_1"
"Roustabouts, Oil and Gas",Architecture & Construction,Construction,"troubleshooting_64,maintenance_31,installation_29,teamwork_26,field service engineer_26,customer service_25,communication_22,repair_19,problem solving_17,communication skills_17"
Segmental Pavers,Architecture & Construction,Construction,"punctuality_2,c class drivers' license_1,power tools_1,manual work_1,teamwork_1,overtime_1,working rights in australia_1,construction trades experience_1,high school diploma or ged_1,valid driver's license_1"
"Service Unit Operators, Oil and Gas",Architecture & Construction,Construction,"mechanical aptitude_12,perfect binder operation_11,positive attitude_11,holidays_8,mailing operations_7,vacations_7,selfmotivation_6,401(k)_6,excellent attendance record_6,satisfactory job performance_6"
Sheet Metal Workers,Architecture & Construction,Construction,"assembly_6,blueprint reading_6,welding_6,sheet metal fabrication_5,fabrication_5,blueprints_4,press brake operation_3,attention to detail_3,installation_3,metal fabrication_3"
Solar Energy Installation Managers,Architecture & Construction,Construction,"project management_19,installation management_18,customer service_16,communication_15,time management_10,quality control_9,scheduling_8,problemsolving_8,problem solving_7,communication skills_7"
Solar Photovoltaic Installers,Architecture & Construction,Construction,"communication skills_5,troubleshooting_5,attention to detail_3,punctuality_2,autocad_2,physical strength_2,driver's license_2,solar photovoltaic electric power generation_2,utility scale inverters_2,nerc/cip compliance_2"
Stonemasons,Architecture & Construction,Construction,"masonry_2,construction_2,stonemasonry_2,bricklaying_1,concrete_1,cement_1,brick ruler_1,trowel_1,scaffolding_1,ladders_1"
Structural Iron and Steel Workers,Architecture & Construction,Construction,"hand tools_31,assembly_26,quality control_19,manual dexterity_18,teamwork_18,troubleshooting_17,attention to detail_17,communication_16,high school diploma_14,production standards_13"
Structural Metal Fabricators and Fitters,Architecture & Construction,Construction,"welding_13,fabrication_8,blueprint reading_6,data management_6,hand tools_6,metal fabrication_5,customer service_5,high school diploma_4,stock management_4,metalworking_4"
Tapers,Architecture & Construction,Construction,"drywall finishing_6,spackling_3,hand tools_3,power tools_3,drilling_3,cutting_3,high school diploma_3,taping_3,painting_3,401k_3"
Terrazzo Workers and Finishers,Architecture & Construction,Construction,"power tools_2,punctuality_2,internal grinding machines_2,hand tools_2,c class drivers' license_1,manual work_1,teamwork_1,overtime_1,working rights in australia_1,grinding machines_1"
Tile and Stone Setters,Architecture & Construction,Construction,"punctuality_2,attention to detail_2,c class drivers' license_1,power tools_1,manual work_1,teamwork_1,overtime_1,working rights in australia_1,construction trades experience_1,high school diploma or ged_1"
"Underground Mining Machine Operators, All Other",Architecture & Construction,Construction,"communication_29,quality control_25,teamwork_24,attention to detail_19,machine operation_19,equipment operation_18,troubleshooting_15,forklift operation_15,customer service_14,equipment maintenance_14"
"Architects, Except Landscape and Naval",Architecture & Construction,Design/Pre-Construction,"revit_733,project management_572,autocad_523,architecture_471,communication_339,sketchup_242,design_234,building codes_192,communication skills_191,teamwork_172"
Architectural and Civil Drafters,Architecture & Construction,Design/Pre-Construction,"autocad_177,revit_91,communication skills_74,communication_67,cad_52,project management_52,teamwork_50,drafting_47,microstation_44,attention to detail_42"
Civil Engineering Technologists and Technicians,Architecture & Construction,Design/Pre-Construction,"customer service_393,valid driver's license_320,communication_236,ability to work at heights_213,ability to lift heavy objects_194,communication skills_170,problemsolving_165,teamwork_157,troubleshooting_152,ability to travel_146"
Civil Engineers,Architecture & Construction,Design/Pre-Construction,"project management_988,civil engineering_881,autocad_601,communication_503,communication skills_420,problem solving_371,teamwork_353,structural engineering_346,project engineering_309,mechanical engineering_290"
Cost Estimators,Architecture & Construction,Design/Pre-Construction,"customer service_1014,communication_724,communication skills_566,time management_526,quantity surveying_447,attention to detail_396,teamwork_380,project management_324,service advisor_273,estimating_262"
Geodetic Surveyors,Architecture & Construction,Design/Pre-Construction,"land surveying_103,autocad_56,gps_55,surveying_45,civil engineering_28,communication_28,topographic surveys_27,communication skills_27,autocad civil 3d_25,gis_25"
Interior Designers,Architecture & Construction,Design/Pre-Construction,"interior design_121,customer service_72,communication_68,sales_59,microsoft office_56,communication skills_52,autocad_44,design_43,attention to detail_37,problem solving_35"
Landscape Architects,Architecture & Construction,Design/Pre-Construction,"landscape architecture_231,autocad_181,project management_172,communication_144,sketchup_115,planning_93,communication skills_91,teamwork_67,scheduling_65,time management_60"
Surveying and Mapping Technicians,Architecture & Construction,Design/Pre-Construction,"surveying_92,autocad_54,gps_50,communication_48,communication skills_48,teamwork_42,attention to detail_38,project management_35,land surveying_32,construction_32"
Surveyors,Architecture & Construction,Design/Pre-Construction,"land surveying_212,surveying_162,autocad_137,project management_134,gps_125,communication_94,communication skills_83,boundary surveys_76,topographic surveys_73,autocad civil 3d_69"
Transportation Engineers,Architecture & Construction,Design/Pre-Construction,"project management_433,civil engineering_247,communication_200,autocad_163,project engineering_142,problem solving_134,communication skills_134,engineering_120,scheduling_120,teamwork_107"
Boilermakers,Architecture & Construction,Maintenance/Operations,"customer service_612,valid driver's license_510,ability to work at heights_364,communication_353,ability to lift heavy objects_313,communication skills_248,ability to travel_244,teamwork_241,problemsolving_226,travel_226"
Commercial Divers,Architecture & Construction,Maintenance/Operations,"background check_2,commercial diver certification_1,underwater inspections_1,construction skills_1,dive station setup_1,equipment operation_1,safety training_1,rigging techniques_1,line pull_1,rigging_1"
"Construction and Related Workers, All Other",Architecture & Construction,Maintenance/Operations,"laminating_1,furniture inspection_1,hand tools_1,power tools_1,metal cabinetry assembly_1,cabinet surface lamination_1,grain matching_1,reveals & gaps knowledge_1,cabinetry trimming_1,finished product quality checks_1"
"Control and Valve Installers and Repairers, Except Mechanical Door",Architecture & Construction,Maintenance/Operations,"customer service_1441,valid driver's license_1156,communication_895,ability to work at heights_781,troubleshooting_699,ability to lift heavy objects_671,communication skills_643,teamwork_605,problemsolving_593,ability to travel_510"
Electrical Power-Line Installers and Repairers,Architecture & Construction,Maintenance/Operations,"customer service_523,valid driver's license_462,ability to work at heights_327,communication_286,ability to lift heavy objects_284,ability to travel_233,problemsolving_210,communication skills_206,teamwork_181,travel_179"
Elevator and Escalator Installers and Repairers,Architecture & Construction,Maintenance/Operations,"punctuality_2,c class drivers' license_1,power tools_1,manual work_1,teamwork_1,overtime_1,working rights in australia_1,construction trades experience_1,high school diploma or ged_1,valid driver's license_1"
"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",Architecture & Construction,Maintenance/Operations,"customer service_385,communication_371,leadership_317,service management_174,time management_173,teamwork_165,training_162,scheduling_161,problem solving_155,safety_130"
"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",Architecture & Construction,Maintenance/Operations,"troubleshooting_121,maintenance_72,welding_70,communication_53,teamwork_49,hand tools_44,hvac_44,high school diploma_42,communication skills_40,preventative maintenance_38"
"Helpers--Installation, Maintenance, and Repair Workers",Architecture & Construction,Maintenance/Operations,"maintenance_9,teamwork_6,painting_6,plumbing_5,communication_5,electrical_4,repair_4,cleaning_4,problemsolving_3,adaptability_3"
Highway Maintenance Workers,Architecture & Construction,Maintenance/Operations,"customer service_841,valid driver's license_776,communication_653,communication skills_583,troubleshooting_440,health insurance_437,ability to work at heights_418,paid time off_383,teamwork_375,problemsolving_370"
Landscaping and Groundskeeping Workers,Architecture & Construction,Maintenance/Operations,"customer service_900,valid driver's license_680,communication_574,troubleshooting_480,ability to work at heights_417,communication skills_396,teamwork_395,problemsolving_375,ability to lift heavy objects_365,maintenance_358"
Mechanical Door Repairers,Architecture & Construction,Maintenance/Operations,"customer service_619,valid driver's license_513,ability to work at heights_364,communication_343,ability to lift heavy objects_313,ability to travel_245,communication skills_244,teamwork_230,travel_226,problemsolving_224"
Millwrights,Architecture & Construction,Maintenance/Operations,"troubleshooting_169,customer service_68,communication_59,repair_57,field service technician_55,communication skills_50,teamwork_46,installation_46,problemsolving_44,maintenance_38"
